"","name","elected","ideology","list","party_member","party","age","sex","educ"
"181","Ruben Sebastian Miranda Vasquez","0","-1.40842537553515","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"182","Manuel Alejandro Gatica Jorquera","0","-1.0406806924792","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Media"
"183","Valeria Elisa Retamales Cordova","0","-1.24508508343225","Independientes Distrito 6 + Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"184","Andrea Lorena Alfaro Lay","0","-1.44447094031219","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"185","Daniela Aldoney Ramirez","0","-0.743290292506162","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"186","Miguel angel Botto Salinas","1","-1.31219681690936","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"187","Ramiro Rodrigo Gonzalez Figueroa","0","-1.68267151558966","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"188","Rocio Fernanda Veas Solis","0","-1.41199909134844","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"189","Waleska Castillo Lopez","0","-1.71081924091572","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Mujer","Educacion Superior"
"190","Jorge Correa Sutil","0","1.07161831367979","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Superior"
"191","Claudia Antonieta Espinoza Cabezas","0","-1.25186080977177","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Media"
"192","Rolando Ivan Garrido Quiroz","0","-1.20023519845907","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Hombre","Educacion Superior"
"193","Maricel Martinez Vicencio","0","-1.30508113919425","Lista del Apruebo","Militante de Partido","Partido Por la Democracia (PPD)","45+","Mujer","Educacion Superior"
"194","Claudio Andres Gomez Castro","1","-1.1927638891","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","Hasta 44","Hombre","Educacion Superior"
"195","Erika Gabriela Matte Pizarro","0","-1.4368978862734","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","45+","Mujer","Educacion Superior"
"196","Carlos Octavio Ominami Pascual","0","-1.49577862390867","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","45+","Hombre","Educacion Superior"
"197","Scarlett Beatriz Valdes Pizarro","0","-1.50806745218899","Lista del Apruebo","Militante de Partido","Partido Liberal (PL)","Hasta 44","Mujer","Educacion Superior"
"198","Antonio Alejandro Paez Aguilar","0","-1.22749856365193","Partido de Trabajadores Revolucionarios","Independiente","Militante Partido de Trabajadores Revolucionarios","Hasta 44","Hombre","Educacion Superior"
"199","Dario Benjamin Gonzalez Pinto","0","-1.24399875569492","Partido de Trabajadores Revolucionarios","Independiente","null","45+","Hombre","Educacion Media"
"200","Natali Andrea Hinojosa Serrano","0","-1.4192269722209","Partido de Trabajadores Revolucionarios","Independiente","null","45+","Mujer","Educacion Superior"
"201","Diego Sebastian Vidal Vergara","0","-0.569072930104777","Lista Independiente Parto Social","Independiente","null","Hasta 44","Hombre","null"
"202","Isidro Mateo Rodriguez Cuadra","0","-0.809866834608846","Lista Independiente Parto Social","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"203","Josefina de Jesus Rodriguez Cuadra","0","-0.786031089406139","Lista Independiente Parto Social","Independiente","null","Hasta 44","Mujer","null"
"204","Wladimir Gonzalo Valenzuela Martinez","0","-1.42937890227945","Lista Independiente Parto Social","Independiente","null","Hasta 44","Hombre","null"
"205","Jeanette Pamela Bruna Jara","0","0.706090611604775","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"206","Marlenne Carolina Aroca Guerrero","0","0.869966930525029","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","Hasta 44","Mujer","Educacion Superior"
"207","Jorge Patricio Arancibia Reyes","1","1.09865037670602","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Hombre","Educacion Superior"
"208","Raul Celis Montt","1","1.13253425613294","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","45+","Hombre","Educacion Superior"
"209","Mariana Macarena Urenda Salamanca","0","0.386047219786956","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"210","Juan Pablo Rodriguez Oyarzun","0","0.669339120797739","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"211","Tania Veronica Cordova Castro","0","0.620193167536735","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"212","Lucia del Pilar Estay Baez","0","-1.81054624805912","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","null"
"213","Michael Enrique Humana Concha","0","-1.37863345370088","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Hombre","Educacion Superior"
"214","Alejandro Abarzua Ramirez","0","-1.50931970611045","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Hombre","Educacion Media"
"215","Edith Paola Estay Olguin","0","-1.14058102667028","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","null"
"216","Cristobal Rain Cancino","0","-1.17764368402628","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","45+","Hombre","Educacion Superior"
"217","Camila Ignacia Zarate Zarate","1","-1.13369459608582","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"218","Pablo Alejandro Donoso Christie","0","-1.37928365546754","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"219","Tania Isabel Madriaga Flores","1","-1.37157022534272","La Lista del Pueblo","Independiente","null","45+","Mujer","Educacion Superior"
"220","Tomas Ignacio Lagomarsino Guzman","0","-1.5585447913387","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"221","Pamela Maria Virginia Vivanco Montero","0","-1.41252044680434","La Lista del Pueblo","Independiente","null","45+","Mujer","Educacion Superior"
"222","Isaias Antonio Rojas Pena","0","-1.19612772397557","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"223","Sonia del Carmen Caceres Gonzalez","0","-1.34480108628804","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"224","Francisco Javier Silva Bustamante","0","-1.77428592403867","La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"225","Constanza Valdes Contreras","0","-1.21609572134973","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"226","Jaime Andres Bassa Mercado","1","-1.55710450854474","Apruebo Dignidad","Independiente","Independiente - Convergencia Social (CS)","Hasta 44","Hombre","Educacion Superior"
"227","Maria Jose Oyarzun Solis","1","-1.38237857939215","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"228","Cristian Ivan Bellei Carvacho","0","-1.30304735568465","Apruebo Dignidad","Independiente","Independiente - Revolucion Democratica (RD)","45+","Hombre","Educacion Superior"
"229","Gianina Elizabeth Figueroa Ipinza","0","-1.34598697009129","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","45+","Mujer","Educacion Superior"
"230","Jose Manuel Lanas Quinones","0","-1.05800610054365","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Hombre","Educacion Superior"
"231","Luis Alberto Cuello Pena y Lillo","0","-1.55394605264759","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","Hasta 44","Hombre","Educacion Superior"
"232","Daniel Francisco Chamorro Burgos","0","-1.24594435838163","Lista Social Poder Constituyente a Toda Costa","Independiente","null","Hasta 44","Hombre","Educacion Media"
"233","Patricia Paz Brito Ortega","0","-1.36915877930023","Lista Social Poder Constituyente a Toda Costa","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"234","Zunilda Geraldine Chavez Quiroga","0","-1.25053583809309","Lista Social Poder Constituyente a Toda Costa","Independiente","null","45+","Mujer","Educacion Superior"
"235","Natalia Phenelope Corrales Cordero","0","-1.35630972039568","Lista Social Poder Constituyente a Toda Costa","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"236","Alberto Fernando Ormeno Retamal","0","-1.5275120370785","Lista Social Poder Constituyente a Toda Costa","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"237","Barbara Jacqueline Cordova Retamal","0","-0.72282047087401","Soberania Ciudadana","Independiente","null","Hasta 44","Mujer","null"
"238","Romina Alejandra Amestica Aburto","0","-1.8273959162303","Soberania Ciudadana","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"239","Julio Maximiliano Prischtt Nunez","0","-1.57036320385094","Soberania Ciudadana","Independiente","null","45+","Hombre","Educacion Superior"
"240","Leonardo Andres Latorre Melin","0","-1.29601570524076","Soberania Ciudadana","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"241","Danixa Alejandra Becerra Castro","0","-1.22150923442674","Soberania Ciudadana","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"242","Francisco Javier Vergara Vallejos","0","-2.05366563500357","Soberania Ciudadana","Independiente","null","Hasta 44","Hombre","null"
"243","Barbarita Andrea Lara Martinez","0","-0.997922814982752","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"244","Carolina Luisa Torrejon Perez","0","-1.93827295059697","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"245","Rodolfo Cornejo Silva","0","-1.74652459963498","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"246","Patricio Young Moreau","0","-1.01153898307229","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"247","Rodrigo Andres Reyes Sangermani","0","0.308131609150301","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"248","Ivan Zamora Zapata","0","-1.57826632219156","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"249","Agustin Squella Narducci","1","-1.44743158789511","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Hombre","Educacion Superior"
"250","Paula Andrea Gutierrez Huenchuleo","0","-1.31310530572115","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"251","Paz Alexandra Anastasiadis Le Roy","0","0.280266572845856","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"252","Raul Burgos Pinto","0","-1.63112494279207","Lista del Apruebo","Independiente","Independiente - Partido Democrata Cristiano (DC)","Hasta 44","Hombre","Educacion Superior"
"253","Pedro Cesar Cayuqueo Millaqueo","0","-1.40374444274731","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","45+","Hombre","Educacion Superior"
"254","Alejandra Del Carmen Zuniga Fajuri","0","-1.76627477756811","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Mujer","Educacion Superior"
"255","Javiera Constanza Marquez Basualto","0","-1.33790278784086","Partido de Trabajadores Revolucionarios","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"256","Maria Isabel Margarita Martinez Lizama","0","-1.40899158463728","Partido de Trabajadores Revolucionarios","Independiente","null","45+","Mujer","Educacion Superior"
"257","Leonardo Claudio Cabezas Zuniga","0","-1.64873176186983","Partido de Trabajadores Revolucionarios","Independiente","null","45+","Hombre","Educacion Superior"
"258","Macarena del Carmen Bravo Rojas","0","1.19410933303076","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","Hasta 44","Mujer","Educacion Superior"
"259","Bernardo de la Maza Banados","1","0.944913526109861","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","45+","Hombre","Educacion Superior"
"260","Macarena Cornejo Fuentes","0","0.838562764102479","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","Hasta 44","Mujer","Educacion Superior"
"261","Miguel Elias Esbir Barco","0","1.09183032564911","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Hombre","Educacion Media"
"262","Katerine Alejandra Medel Bueno","0","0.0960942458328643","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","Hasta 44","Mujer","null"
"263","Tomas Guevara Agüero","0","0.286999836452111","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"264","Andrea Ojeda Miranda","0","0.263618053515791","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"265","Francisco Moreno Guzman","0","0.758063010712483","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"266","Daniel Trujillo Rivas","0","-1.09223042813577","La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"267","Karen Francisca Orellana Sullivan","0","-1.72999741981487","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Media"
"268","Pablo Andres Cruz Ramirez","0","0.267950793696047","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","null"
"269","Claudia Soledad Figueroa Sepulveda","0","-1.7526606616522","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"270","Gerardo Antonio Iturra Garcia","0","-0.953861159340892","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","null"
"271","Palomba Jael Albarracin Mori","0","-1.37989682249454","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"272","Marco Antonio Arellano Ortega","1","-1.46044159574057","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
